External Shade Option,Glass Option,Internal Shade Option,Pane Option,Direction,10,15,20,25,30,35
No External Shade Screen,Reflective Coated Glass,No Internal Shading,Single Pane,NE/NW,34,38,42,46,50,54
No External Shade Screen,Reflective Coated Glass,No Internal Shading,Single Pane,E/W,49,53,57,61,65,69
No External Shade Screen,Reflective Coated Glass,No Internal Shading,Single Pane,SE/SW,43,47,51,55,59,63
No External Shade Screen,Reflective Coated Glass,No Internal Shading,Single Pane,S,24,28,32,36,40,44
No External Shade Screen,Reflective Coated Glass,No Internal Shading,Double Pane OR Single Pane & Low e Coating,N,10,12,14,16,18,20
No External Shade Screen,Reflective Coated Glass,No Internal Shading,Double Pane OR Single Pane & Low e Coating,NE/NW,24,26,28,30,32,34
No External Shade Screen,Reflective Coated Glass,No Internal Shading,Double Pane OR Single Pane & Low e Coating,E/W,34,36,38,40,42,44
No External Shade Screen,Reflective Coated Glass,No Internal Shading,Double Pane OR Single Pane & Low e Coating,SE/SW,29,31,33,35,37,39
No External Shade Screen,Reflective Coated Glass,No Internal Shading,Double Pane OR Single Pane & Low e Coating,S,17,19,21,23,25,27
No External Shade Screen,Reflective Coated Glass,No Internal Shading,Triple Pane OR Double Pane & Low e Coating,N,6,7,8,9,10,11
No External Shade Screen,Reflective Coated Glass,No Internal Shading,Triple Pane OR Double Pane & Low e Coating,NE/NW,15,16,17,18,19,20
No External Shade Screen,Reflective Coated Glass,No Internal Shading,Triple Pane OR Double Pane & Low e Coating,E/W,21,22,23,24,25,26
No External Shade Screen,Reflective Coated Glass,No Internal Shading,Triple Pane OR Double Pane & Low e Coating,SE/SW,18,19,20,21,22,23
No External Shade Screen,Reflective Coated Glass,No Internal Shading,Triple Pane OR Double Pane & Low e Coating,S,10,11,12,13,14,15
No External Shade Screen,Reflective Coated Glass,Draperies OR Venetian Blinds,Single Pane,N,11,15,19,23,27,31
No External Shade Screen,Reflective Coated Glass,Draperies OR Venetian Blinds,Single Pane,NE/NW,28,32,36,40,44,48
No External Shade Screen,Reflective Coated Glass,Draperies OR Venetian Blinds,Single Pane,E/W,40,44,48,52,56,60
No External Shade Screen,Reflective Coated Glass,Draperies OR Venetian Blinds,Single Pane,SE/SW,35,39,43,47,51,55
No External Shade Screen,Reflective Coated Glass,Draperies OR Venetian Blinds,Single Pane,S,20,24,28,32,36,40
No External Shade Screen,Reflective Coated Glass,Draperies OR Venetian Blinds,Double Pane OR Single Pane & Low e Coating,N,8,10,12,14,16,18
No External Shade Screen,Reflective Coated Glass,Draperies OR Venetian Blinds,Double Pane OR Single Pane & Low e Coating,NE/NW,20,22,24,26,28,30
No External Shade Screen,Reflective Coated Glass,Draperies OR Venetian Blinds,Double Pane OR Single Pane & Low e Coating,E/W,30,32,34,36,38,40
No External Shade Screen,Reflective Coated Glass,Draperies OR Venetian Blinds,Double Pane OR Single Pane & Low e Coating,SE/SW,26,28,30,32,34,36
No External Shade Screen,Reflective Coated Glass,Draperies OR Venetian Blinds,Double Pane OR Single Pane & Low e Coating,S,15,17,19,21,23,25
No External Shade Screen,Reflective Coated Glass,Draperies OR Venetian Blinds,Triple Pane OR Double Pane & Low e Coating,N,5,6,7,8,9,10
No External Shade Screen,Reflective Coated Glass,Draperies OR Venetian Blinds,Triple Pane OR Double Pane & Low e Coating,NE/NW,12,13,14,15,16,17
No External Shade Screen,Reflective Coated Glass,Draperies OR Venetian Blinds,Triple Pane OR Double Pane & Low e Coating,E/W,17,18,19,20,21,22
No External Shade Screen,Reflective Coated Glass,Draperies OR Venetian Blinds,Triple Pane OR Double Pane & Low e Coating,SE/SW,15,16,17,18,19,20
No External Shade Screen,Reflective Coated Glass,Draperies OR Venetian Blinds,Triple Pane OR Double Pane & Low e Coating,S,9,10,11,12,13,14
No External Shade Screen,Reflective Coated Glass,Roller Shades Half Drawn,Single Pane,N,12,16,20,24,28,32
No External Shade Screen,Reflective Coated Glass,Roller Shades Half Drawn,Single Pane,NE/NW,30,34,38,42,46,50
No External Shade Screen,Reflective Coated Glass,Roller Shades Half Drawn,Single Pane,E/W,44,48,52,56,60,64
No External Shade Screen,Reflective Coated Glass,Roller Shades Half Drawn,Single Pane,SE/SW,38,42,46,50,54,58
No External Shade Screen,Reflective Coated Glass,Roller Shades Half Drawn,Single Pane,S,22,26,30,34,38,42
No External Shade Screen,Reflective Coated Glass,Roller Shades Half Drawn,Double Pane OR Single Pane & Low e Coating,N,9,11,13,15,17,19
No External Shade Screen,Reflective Coated Glass,Roller Shades Half Drawn,Double Pane OR Single Pane & Low e Coating,NE/NW,21,23,25,27,29,31
No External Shade Screen,Reflective Coated Glass,Roller Shades Half Drawn,Double Pane OR Single Pane & Low e Coating,E/W,31,33,35,37,39,41
No External Shade Screen,Reflective Coated Glass,Roller Shades Half Drawn,Double Pane OR Single Pane & Low e Coating,SE/SW,27,29,31,33,35,37
No External Shade Screen,Reflective Coated Glass,Roller Shades Half Drawn,Double Pane OR Single Pane & Low e Coating,S,15,17,19,21,23,25
No External Shade Screen,Reflective Coated Glass,Roller Shades Half Drawn,Triple Pane OR Double Pane & Low e Coating,N,5,6,7,8,9,10
No External Shade Screen,Reflective Coated Glass,Roller Shades Half Drawn,Triple Pane OR Double Pane & Low e Coating,NE/NW,13,14,15,16,17,18
No External Shade Screen,Reflective Coated Glass,Roller Shades Half Drawn,Triple Pane OR Double Pane & Low e Coating,E/W,18,19,20,21,22,23
No External Shade Screen,Reflective Coated Glass,Roller Shades Half Drawn,Triple Pane OR Double Pane & Low e Coating,SE/SW,16,17,18,19,20,21
No External Shade Screen,Reflective Coated Glass,Roller Shades Half Drawn,Triple Pane OR Double Pane & Low e Coating,S,9,10,11,12,13,14
No External Shade Screen,Reflective Coated Glass,Awning Porches or Other External Shading,Single Pane,Any,14,18,22,26,30,34
No External Shade Screen,Reflective Coated Glass,Awning Porches or Other External Shading,Double Pane OR Single Pane & Low e Coating,Any,10,12,14,16,18,20
No External Shade Screen,Reflective Coated Glass,Awning Porches or Other External Shading,Triple Pane OR Double Pane & Low e Coating,Any,6,7,8,9,10,11
"External Shade Screen, Shading Coefficient 0.15",Clear Glass,No Internal Shading,Single Pane,N,23,27,31,35,39,43
"External Shade Screen, Shading Coefficient 0.15",Clear Glass,No Internal Shading,Single Pane,NE/NW,28,32,36,40,44,48
"External Shade Screen, Shading Coefficient 0.15",Clear Glass,No Internal Shading,Single Pane,E/W,32,36,40,44,48,52
"External Shade Screen, Shading Coefficient 0.15",Clear Glass,No Internal Shading,Single Pane,SE/SW,30,34,38,42,46,50
"External Shade Screen, Shading Coefficient 0.15",Clear Glass,No Internal Shading,Single Pane,S,26,30,34,38,42,46
"External Shade Screen, Shading Coefficient 0.15",Clear Glass,No Internal Shading,Double Pane OR Single Pane & Low e Coating,N,19,21,23,25,27,29
"External Shade Screen, Shading Coefficient 0.15",Clear Glass,No Internal Shading,Double Pane OR Single Pane & Low e Coating,NE/NW,23,25,27,29,31,33
"External Shade Screen, Shading Coefficient 0.15",Clear Glass,No Internal Shading,Double Pane OR Single Pane & Low e Coating,E/W,26,28,30,32,34,36
"External Shade Screen, Shading Coefficient 0.15",Clear Glass,No Internal Shading,Double Pane OR Single Pane & Low e Coating,SE/SW,25,27,29,31,33,35
"External Shade Screen, Shading Coefficient 0.15",Clear Glass,No Internal Shading,Double Pane OR Single Pane & Low e Coating,S,21,23,25,27,29,31
"External Shade Screen, Shading Coefficient 0.15",Clear Glass,No Internal Shading,Triple Pane OR Double Pane & Low e Coating,N,17,18,19,20,21,22
"External Shade Screen, Shading Coefficient 0.15",Clear Glass,No Internal Shading,Triple Pane OR Double Pane & Low e Coating,NE/NW,21,22,23,24,25,26
"External Shade Screen, Shading Coefficient 0.15",Clear Glass,No Internal Shading,Triple Pane OR Double Pane & Low e Coating,E/W,24,25,26,27,28,29
"External Shade Screen, Shading Coefficient 0.15",Clear Glass,No Internal Shading,Triple Pane OR Double Pane & Low e Coating,SE/SW,22,23,24,25,26,27
"External Shade Screen, Shading Coefficient 0.15",Clear Glass,No Internal Shading,Triple Pane OR Double Pane & Low e Coating,S,19,20,21,22,23,24
"External Shade Screen, Shading Coefficient 0.15",Clear Glass,Draperies OR Venetian Blinds,Single Pane,N,14,18,22,26,30,34
"External Shade Screen, Shading Coefficient 0.15",Clear Glass,Draperies OR Venetian Blinds,Single Pane,NE/NW,17,21,25,29,33,37
"External Shade Screen, Shading Coefficient 0.15",Clear Glass,Draperies OR Venetian Blinds,Single Pane,E/W,19,23,27,31,35,39
"External Shade Screen, Shading Coefficient 0.15",Clear Glass,Draperies OR Venetian Blinds,Single Pane,SE/SW,18,22,26,30,34,38
"External Shade Screen, Shading Coefficient 0.15",Clear Glass,Draperies OR Venetian Blinds,Single Pane,S,16,20,24,28,32,36
"External Shade Screen, Shading Coefficient 0.15",Clear Glass,Draperies OR Venetian Blinds,Double Pane OR Single Pane & Low e Coating,N,12,14,16,18,20,22
"External Shade Screen, Shading Coefficient 0.15",Clear Glass,Draperies OR Venetian Blinds,Double Pane OR Single Pane & Low e Coating,NE/NW,15,17,19,21,23,25
"External Shade Screen, Shading Coefficient 0.15",Clear Glass,Draperies OR Venetian Blinds,Double Pane OR Single Pane & Low e Coating,E/W,17,19,21,23,25,27
"External Shade Screen, Shading Coefficient 0.15",Clear Glass,Draperies OR Venetian Blinds,Double Pane OR Single Pane & Low e Coating,SE/SW,16,18,20,22,24,26
"External Shade Screen, Shading Coefficient 0.15",Clear Glass,Draperies OR Venetian Blinds,Double Pane OR Single Pane & Low e Coating,S,13,15,17,19,21,23
"External Shade Screen, Shading Coefficient 0.15",Clear Glass,Draperies OR Venetian Blinds,Triple Pane OR Double Pane & Low e Coating,N,10,11,12,13,14,15
"External Shade Screen, Shading Coefficient 0.15",Clear Glass,Draperies OR Venetian Blinds,Triple Pane OR Double Pane & Low e Coating,NE/NW,12,13,14,15,16,17
"External Shade Screen, Shading Coefficient 0.15",Clear Glass,Draperies OR Venetian Blinds,Triple Pane OR Double Pane & Low e Coating,E/W,14,15,16,17,18,19
"External Shade Screen, Shading Coefficient 0.15",Clear Glass,Draperies OR Venetian Blinds,Triple Pane OR Double Pane & Low e Coating,SE/SW,13,14,15,16,17,18
"External Shade Screen, Shading Coefficient 0.15",Clear Glass,Draperies OR Venetian Blinds,Triple Pane OR Double Pane & Low e Coating,S,11,12,13,14,15,16
"External Shade Screen, Shading Coefficient 0.15",Clear Glass,Roller Shades Half Drawn,Single Pane,N,17,17,17,17,17,17
"External Shade Screen, Shading Coefficient 0.15",Clear Glass,Roller Shades Half Drawn,Single Pane,NE/NW,21,25,29,33,37,41
"External Shade Screen, Shading Coefficient 0.15",Clear Glass,Roller Shades Half Drawn,Single Pane,E/W,23,27,31,35,39,43
"External Shade Screen, Shading Coefficient 0.15",Clear Glass,Roller Shades Half Drawn,Single Pane,SE/SW,22,26,30,34,38,42
"External Shade Screen, Shading Coefficient 0.15",Clear Glass,Roller Shades Half Drawn,Single Pane,S,19,23,27,31,35,39
"External Shade Screen, Shading Coefficient 0.15",Clear Glass,Roller Shades Half Drawn,Double Pane OR Single Pane & Low e Coating,N,16,18,20,22,24,26
"External Shade Screen, Shading Coefficient 0.15",Clear Glass,Roller Shades Half Drawn,Double Pane OR Single Pane & Low e Coating,NE/NW,19,21,23,25,27,29
"External Shade Screen, Shading Coefficient 0.15",Clear Glass,Roller Shades Half Drawn,Double Pane OR Single Pane & Low e Coating,E/W,22,24,26,28,30,32
"External Shade Screen, Shading Coefficient 0.15",Clear Glass,Roller Shades Half Drawn,Double Pane OR Single Pane & Low e Coating,SE/SW,21,23,25,27,29,31
"External Shade Screen, Shading Coefficient 0.15",Clear Glass,Roller Shades Half Drawn,Double Pane OR Single Pane & Low e Coating,S,18,20,22,24,26,28
"External Shade Screen, Shading Coefficient 0.15",Clear Glass,Roller Shades Half Drawn,Triple Pane OR Double Pane & Low e Coating,N,14,15,16,17,18,19
"External Shade Screen, Shading Coefficient 0.15",Clear Glass,Roller Shades Half Drawn,Triple Pane OR Double Pane & Low e Coating,NE/NW,17,18,19,20,21,22
"External Shade Screen, Shading Coefficient 0.15",Clear Glass,Roller Shades Half Drawn,Triple Pane OR Double Pane & Low e Coating,E/W,19,20,21,22,23,24
"External Shade Screen, Shading Coefficient 0.15",Clear Glass,Roller Shades Half Drawn,Triple Pane OR Double Pane & Low e Coating,SE/SW,18,19,20,21,22,23
